europe.city-maiden-castle | Maiden Castle | Europe | s=-600 e=-43 ext=None b=[-636, -564] | typological | h=None ds=None | Largest Iron Age hillfort in Britain; proto-urban tribal centre, not a city. | al=Dorset
europe.city-mainz | Mainz | Europe | s=-13 e=None ext=True b=[-38, 12] | typological | h=None ds=None | Rhine legionary capital, later Gutenberg's printing city and primatial see. | al=Mogontiacum,Mayence
europe.city-malaca | Malaca | Europe | s=-770 e=None ext=True b=[-816, -724] | typological | h=None ds=None | Phoenician port and later Nasrid Mediterranean outlet. | al=Málaga,Malaka
europe.city-malia | Malia | Europe | s=-2200 e=-1250 ext=None b=[-2332, -2068] | typological | h=None ds=None | Minoan palace town on Crete's north coast with dense urban quarters. | al=Mallia,Crete
europe.city-manching | Manching | Europe | s=-300 e=-50 ext=None b=[-325, -275] | typological | h=None ds=None | Largest Celtic oppidum in Bavaria, a coin-minting industrial town. | al=Oppidum of Manching,Bavaria
europe.city-mantinea | Mantinea | Europe | s=-600 e=300 ext=None b=[-690, -510] | typological | h=None ds=None | Arcadian city famed for the battles fought on its plain. | al=Mantineia,Arcadia
europe.city-marzabotto | Marzabotto | Europe | s=-500 e=-350 ext=None b=[-530, -470] | typological | h=None ds=None | Etruscan planned city on a grid, abandoned after Gallic invasion. | al=Kainua,Misa,Emilia-Romagna
europe.city-massalia | Massalia | Europe | s=-600 e=None ext=True b=[-612, -588] | typological | h=None ds=None | Phocaean colony that carried Greek trade and wine into Gaul; oldest city in France. | al=Marseille,Massilia
europe.city-mdina | Mdina | Europe | s=-700 e=None ext=True b=[-742, -658] | typological | h=None ds=None | Fortified hilltop capital of Malta through Punic, Roman and Arab rule. | al=Melite,Medina
europe.city-megara | Megara | Europe | s=-800 e=None ext=True b=[-848, -752] | typological | h=None ds=None | Colonising city that founded Byzantium and Megara Hyblaea. | al=Megara Nisaia
europe.city-messene | Messene | Europe | s=-369 e=400 ext=None b=[-394, -344] | typological | h=None ds=None | City founded to free Messenia from Sparta, with exceptionally complete civic remains. | al=Ithome,Ancient Messene,Messenia
